topic,avg_rating,n,std,ratings,freq,pol_points,ME,residuals,comment_length
comedy,4.623423818861729,1754240,1.0657876127582218,[5 2 3 4 1],[305352   7280   7889   8935  21392],1.9088123631886174,0.001577154554901732,0.01800783094056002,223.2995570731485
arts-fashion-beauty,4.6497156239545,74725,1.014358650654714,[5 2 3 1 4],[13069   337   393   764   382],1.899297423887588,0.00727288409530755,0.0023462104153177954,252.9162930746069
tv-film,4.518006061854456,849575,1.1719124582156433,[5 4 1 3 2],[140881   6182  12591   5431   4830],1.8712650442868493,0.0024919676495475888,0.005105809134554606,260.27280110643557
society-culture-places-travel,4.759043974294173,138490,0.837032335738742,[5 3 2 1 4],[25067   492   424   901   814],1.9197776012708498,0.004408401272838698,-0.0027331550299112273,255.74034226297928
comedy-comedy-interviews,4.675124707319556,196460,1.001042504654403,[5 4 1 2 3],[34900   890  2134   603   765],1.923063218975873,0.004426531298836317,0.020171693109936495,189.83021989208999
kids-family,4.745690063016862,528430,0.8465855832134258,[5 4 3 1 2],[94463  4150  2109  3617  1347],1.9080767556724638,0.002282575895888066,-0.01131203028702843,270.7648222091857
health-fitness-mental-health,4.835223950415156,256530,0.7029042901660135,[5 4 1 3 2],[48008   982  1148   624   544],1.9459322496394185,0.0027200394601633736,0.00561160819643991,267.3830156317
religion-spirituality,4.832466088806749,733165,0.7221838130224306,[5 1 2 4 3],[137435   3809   1218   2666   1505],1.952984662388412,0.0016530842146206734,0.013308773031019072,264.17449687314587
business,4.839409561074062,1050405,0.702225094949556,[5 4 1 3 2],[197277   3642   4934   2325   1903],1.9514710992426731,0.0013429073361673027,0.010171916601850794,235.55402916018107
news,4.301109929549382,902760,1.379495473966824,[5 2 1 3 4],[137900   6852  20804   7418   7578],1.83790819265364,0.002845654808903013,0.022456445227645228,233.72915835881076
news-business-news,4.614394580863675,29525,1.0442355342928453,[5 4 3 1 2],[5046  218  189  325  127],1.8775613886536833,0.011911092727074402,-0.011132225478415192,205.38696020321763
education-courses,4.764462809917355,47190,0.8161981149426952,[5 1 4 3 2],[8511  289  340  167  131],1.9147065056155965,0.007364083254347467,-0.009071103800216251,265.6902945539309
society-culture-philosophy,4.769980621293088,170290,0.84158374721157,[1 5 4 3 2],[ 1215 31206   718   501   418],1.9372247342768218,0.0039971537900239645,0.012157132505509205,239.55373186916438
leisure-video-games,4.704959656942956,177230,0.9202602135186294,[5 1 4 2 3],[31376  1409  1208   708   745],1.903910173221238,0.004284401063552281,-0.005956374862777114,246.95929018789144
tv-film-film-reviews,4.752083702784182,112780,0.8569332743714603,[5 4 1 2 3],[20425   604   784   366   377],1.9235680085121476,0.005001255621370083,0.0026844729387167643,265.28812732754034
leisure-games,4.776599837558244,116965,0.8013611819814115,[5 1 4 3 2],[21268   692   713   415   305],1.9210020091480358,0.004592492225545162,-0.005613079081223216,270.3042790578378
spirituality,4.85644354351764,231860,0.6635470405344923,[5 1 4 2 3],[43824   951   737   396   464],1.9555550763391703,0.002700889968202573,0.010273570701122337,287.00138014318986
tv-film-film-history,4.671958529078244,30865,0.9509871091006395,[5 4 1 2 3],[5385  188  237  163  200],1.8783411631297586,0.010609369627203873,-0.023810151545667457,257.7019277498785
business-careers,4.89006138610189,269605,0.5654159369711638,[5 1 3 4 2],[51393   739   455   970   364],1.9583835611357356,0.0021342837874615207,0.005242642228723504,247.64060384636784
business-entrepreneurship,4.9083771590937415,401210,0.5380327001046664,[5 1 4 3 2],[77411  1142   922   439   328],1.9734802223274595,0.0016648338139767158,0.01605731450569925,236.68421774133247
science,4.524381533666645,231015,1.1570344614301815,[5 2 1 4 3],[38304  1501  3196  1716  1486],1.8660476592429063,0.004718177718769072,-0.0016020780923009514,263.41025474536286
science-earth-sciences,4.721689059500959,5210,0.9238209413749598,[5 4 1 2 3],[941  18  45  16  22],1.9251439539347408,0.025085169048408427,0.011366289659473505,222.52879078694818
comedy-improv,4.744599079951086,85865,0.9058584265788864,[5 2 1 3 4],[15702   191   769   226   285],1.9459616840388982,0.006058991350454567,0.026827955695369665,218.42962790426833
tv-film-tv-reviews,4.552321552321552,101010,1.13182219845773,[1 5 2 3 4],[ 1349 16991   562   662   638],1.875061875061875,0.0069798182332508,0.0008801256619093145,257.4355014355014
health-fitness-sexuality,4.476195393989466,96830,1.218139901070674,[5 1 2 3 4],[15833  1582   596   673   682],1.8645048022307136,0.007672560014561558,0.008120356075625779,266.90849943199424
